,ปี,จังหวัด,จำนวน,province_en,area_sqkm
0,2554,กระบี่,647,krabi,5319.41524737463
1,2554,กรุงเทพมหานคร,22133,bangkok,1566.57785515371
2,2554,กาญจนบุรี,1196,kanchanaburi,19405.04297919269
3,2554,กาฬสินธุ์,1216,kalasin,6898.98345578631
4,2554,กำแพงเพชร,825,kamphaengphet,8520.49476797851
5,2554,ขอนแก่น,3980,khonkaen,10629.00058294659
6,2554,จันทบุรี,1414,chanthaburi,6404.21977766077
7,2554,ฉะเชิงเทรา,1081,chachoengsao,5166.90358063618
8,2554,ชลบุรี,3900,chonburi,4510.47957863486
9,2554,ชัยนาท,696,chainat,2511.79747645949
10,2554,ชัยภูมิ,1312,chaiyaphum,12679.25394167537
11,2554,ชุมพร,909,chumphon,6010.28780369493
12,2554,ตรัง,1228,trang,4733.67163479885
13,2554,ตราด,665,trat,2852.41686477382
14,2554,ตาก,942,tak,17318.85703133057
15,2554,นครนายก,892,nakhonnayok,2139.67123307373
16,2554,นครปฐม,1534,nakhonpathom,2141.72859749704
17,2554,นครพนม,943,nakhonphanom,5591.2248017037
18,2554,นครราชสีมา,3608,nakhonratchasima,20688.81885376943
19,2554,นครศรีธรรมราช,2339,nakhonsithammarat,9892.39155890953
20,2554,นครสวรรค์,1780,nakhonsawan,9529.875918751
21,2554,นนทบุรี,2054,nonthaburi,640.29422318966
22,2554,นราธิวาส,1194,narathiwat,4487.14355388134
23,2554,น่าน,1064,nan,12165.11409446458
24,2554,บึงกาฬ,435,buengkan,3979.54529298928
25,2554,บุรีรัมย์,1900,buriram,10047.11268203788
26,2554,ปทุมธานี,1648,pathumthani,1521.51426750265
27,2554,ประจวบคีรีขันธ์,895,prachuapkhirikhan,6427.18463137311
28,2554,ปราจีนบุรี,837,prachinburi,5020.33579717407
29,2554,ปัตตานี,861,pattani,1975.95499697954
30,2554,พระนครศรีอยุธยา,1387,phranakhonsiayutthaya,2547.00670486463
31,2554,พะเยา,1151,phayao,6189.63595036332
32,2554,พังงา,679,phangnga,4580.06905945326
33,2554,พัทลุง,1043,phatthalung,3858.38806176758
34,2554,พิจิตร,824,phichit,4318.65126180923
35,2554,พิษณุโลก,2073,phitsanulok,10598.92285961757
36,2554,ภูเก็ต,1108,phuket,550.09843869971
37,2554,มหาสารคาม,1402,mahasarakham,5582.58568113667
38,2554,มุกดาหาร,545,mukdahan,4092.96993557997
39,2554,ยะลา,1349,yala,4467.26894141248
40,2554,ยโสธร,804,yasothon,4096.15430996103
41,2554,ระนอง,458,ranong,3223.65325675301
42,2554,ระยอง,1310,rayong,3665.05762206486
43,2554,ราชบุรี,2028,ratchaburi,5193.5302239491
44,2554,ร้อยเอ็ด,1624,roiet,7831.5106648173
45,2554,ลพบุรี,1443,lopburi,6501.03118525925
46,2554,ลำปาง,1746,lampang,12500.43740698581
47,2554,ลำพูน,823,lamphun,4481.18815811357
48,2554,ศรีสะเกษ,1544,sisaket,8869.49885872576
49,2554,สกลนคร,1425,sakonnakhon,9525.60546877644
50,2554,สงขลา,4006,songkhla,7745.41218398206
51,2554,สตูล,671,satun,3011.55865450342
52,2554,สมุทรปราการ,1565,samutprakan,965.96104508808
53,2554,สมุทรสงคราม,496,samutsongkhram,412.48672828899
54,2554,สมุทรสาคร,1178,samutsakhon,866.06545786264
55,2554,สระบุรี,1691,saraburi,3487.650451485
56,2554,สระแก้ว,640,sakaeo,6815.11503498248
57,2554,สิงห์บุรี,780,singburi,818.42840644624
58,2554,สุพรรณบุรี,1585,suphanburi,5409.26108410415
59,2554,สุราษฎร์ธานี,2308,suratthani,13086.21372902809
