,Province,total_OPD,Year
0,กระบี่,1110208,2556
1,กาญจนบุรี,1780883,2556
2,กาฬสินธุ์,3407362,2556
3,กำแพงเพชร,2511719,2556
4,ขอนแก่น,7250904,2556
5,จันทบุรี,1577151,2556
6,ฉะเชิงเทรา,1586269,2556
7,ชลบุรี,3226006,2556
8,ชัยนาท,1019815,2556
9,ชัยภูมิ,3197242,2556
10,ชุมพร,1232963,2556
11,เชียงราย,3418302,2556
12,เชียงใหม่,3967943,2556
13,ตรัง,1851220,2556
14,ตราด,626376,2556
15,ตาก,1566572,2556
16,นครนายก,1005127,2556
17,นครปฐม,3406928,2556
18,นครพนม,2225590,2556
19,นครราชสีมา,6015065,2556
20,นครศรีธรรมราช,4271094,2556
21,นครสวรรค์,3658393,2556
22,นนทบุรี,2343540,2556
23,นราธิวาส,1559397,2556
24,น่าน,1955562,2556
25,บึงกาฬ,929015,2556
26,บุรีรัมย์,4891778,2556
27,ปทุมธานี,1876089,2556
28,ประจวบคีรีขันธ์,1376033,2556
29,ปราจีนบุรี,1479512,2556
30,ปัตตานี,1351421,2556
31,พระนครศรีอยุธยา,3116985,2556
32,พะเยา,2139978,2556
33,พังงา,429230,2556
34,พัทลุง,1585056,2556
35,พิจิตร,2095271,2556
36,พิษณุโลก,3031249,2556
37,เพชรบุรี,2071255,2556
38,เพชรบูรณ์,2711954,2556
39,แพร่,1886706,2556
40,ภูเก็ต,831093,2556
41,มหาสารคาม,2793921,2556
42,มุกดาหาร,701992,2556
43,แม่ฮ่องสอน,848174,2556
44,ยโสธร,1866426,2556
45,ยะลา,632298,2556
46,ร้อยเอ็ด,3999158,2556
47,ระนอง,524737,2556
48,ระยอง,1517002,2556
49,ราชบุรี,3118635,2556
50,ลพบุรี,2297682,2556
51,ลำปาง,2578493,2556
52,ลำพูน,1675712,2556
53,เลย,2329825,2556
54,ศรีสะเกษ,3950285,2556
55,สกลนคร,3295893,2556
56,สงขลา,3446989,2556
57,สตูล,693965,2556
58,สมุทรปราการ,2407691,2556
59,สมุทรสงคราม,418850,2556
60,สมุทรสาคร,2119256,2556
61,สระแก้ว,1336503,2556
62,สระบุรี,1070381,2556
63,สิงห์บุรี,880098,2556
64,สุโขทัย,2133750,2556
65,สุพรรณบุรี,3317429,2556
66,สุราษฎร์ธานี,2360183,2556
67,สุรินทร์,4130919,2556
68,หนองคาย,1749272,2556
69,หนองบัวลำภู,1718309,2556
70,อ่างทอง,1179579,2556
71,อำนาจเจริญ,1221845,2556
72,อุดรธานี,3019377,2556
73,อุตรดิตถ์,1959943,2556
74,อุทัยธานี,1652950,2556
75,อุบลราชธานี,5387736,2556
76,กระบี่,957304,2557
77,กาญจนบุรี,2382065,2557
78,กาฬสินธุ์,3109735,2557
79,กำแพงเพชร,2585490,2557
80,ขอนแก่น,5270060,2557
81,จันทบุรี,1716292,2557
82,ฉะเชิงเทรา,1765830,2557
83,ชลบุรี,3043960,2557
84,ชัยนาท,839797,2557
85,ชัยภูมิ,3408186,2557
86,ชุมพร,1378087,2557
87,เชียงราย,3839033,2557
88,เชียงใหม่,3858099,2557
89,ตรัง,1717201,2557
90,ตราด,792210,2557
91,ตาก,1850337,2557
92,นครนายก,916381,2557
93,นครปฐม,3143382,2557
94,นครพนม,1937332,2557
95,นครราชสีมา,7897513,2557
96,นครศรีธรรมราช,4095538,2557
97,นครสวรรค์,3525817,2557
98,นนทบุรี,2422296,2557
99,นราธิวาส,1299975,2557
100,น่าน,1911357,2557
101,บึงกาฬ,1166177,2557
102,บุรีรัมย์,4643981,2557
103,ปทุมธานี,1364084,2557
104,ประจวบคีรีขันธ์,1747043,2557
105,ปราจีนบุรี,1461019,2557
106,ปัตตานี,1644050,2557
107,พระนครศรีอยุธยา,2825524,2557
108,พะเยา,1775718,2557
109,พังงา,297342,2557
110,พัทลุง,1266377,2557
111,พิจิตร,2152084,2557
112,พิษณุโลก,3064781,2557
113,เพชรบุรี,1940664,2557
114,เพชรบูรณ์,2571655,2557
115,แพร่,1797865,2557
116,ภูเก็ต,687450,2557
117,มหาสารคาม,2633369,2557
118,มุกดาหาร,456364,2557
119,แม่ฮ่องสอน,850849,2557
120,ยโสธร,1901453,2557
121,ยะลา,624013,2557
122,ร้อยเอ็ด,4043052,2557
123,ระนอง,506481,2557
124,ระยอง,1025401,2557
125,ราชบุรี,2873837,2557
126,ลพบุรี,2048107,2557
127,ลำปาง,2094371,2557
128,ลำพูน,1592726,2557
129,เลย,2330699,2557
130,ศรีสะเกษ,4385546,2557
131,สกลนคร,3565044,2557
132,สงขลา,4063606,2557
133,สตูล,526762,2557
134,สมุทรปราการ,1562426,2557
135,สมุทรสงคราม,519528,2557
136,สมุทรสาคร,1390779,2557
137,สระแก้ว,1074138,2557
138,สระบุรี,478017,2557
139,สิงห์บุรี,940958,2557
140,สุโขทัย,2087130,2557
141,สุพรรณบุรี,3448238,2557
142,สุราษฎร์ธานี,3130546,2557
143,สุรินทร์,3756480,2557
144,หนองคาย,1806662,2557
145,หนองบัวลำภู,1706402,2557
146,อ่างทอง,644061,2557
147,อำนาจเจริญ,1155587,2557
148,อุดรธานี,4580373,2557
149,อุตรดิตถ์,1795748,2557
150,อุทัยธานี,1574061,2557
151,อุบลราชธานี,4883992,2557
152,กระบี่,1388593,2559
153,กาญจนบุรี,3286276,2559
154,กาฬสินธุ์,3662938,2559
155,กำแพงเพชร,2868089,2559
156,ขอนแก่น,6707144,2559
157,จันทบุรี,1866094,2559
158,ฉะเชิงเทรา,2315007,2559
159,ชลบุรี,5231241,2559
160,ชัยนาท,1825641,2559
161,ชัยภูมิ,3733495,2559
162,ชุมพร,1678592,2559
163,เชียงราย,5246422,2559
164,เชียงใหม่,7639537,2559
165,ตรัง,2322405,2559
166,ตราด,901935,2559
167,ตาก,2165398,2559
168,นครนายก,1180026,2559
169,นครปฐม,4096379,2559
170,นครพนม,2397278,2559
171,นครราชสีมา,9583138,2559
172,นครศรีธรรมราช,5587451,2559
173,นครสวรรค์,4579642,2559
174,นนทบุรี,3548300,2559
175,นราธิวาส,2111062,2559
176,น่าน,2182606,2559
177,บึงกาฬ,1382231,2559
178,บุรีรัมย์,5634866,2559
179,ปทุมธานี,2392198,2559
180,ประจวบคีรีขันธ์,2087310,2559
181,ปราจีนบุรี,2091120,2559
182,ปัตตานี,2571753,2559
183,พระนครศรีอยุธยา,3265561,2559
184,พะเยา,2244327,2559
185,พังงา,956303,2559
186,พัทลุง,2158910,2559
187,พิจิตร,2467386,2559
188,พิษณุโลก,3778972,2559
189,เพชรบุรี,2251035,2559
190,เพชรบูรณ์,3233202,2559
191,แพร่,2128830,2559
192,ภูเก็ต,1138548,2559
193,มหาสารคาม,3047458,2559
194,มุกดาหาร,1175352,2559
195,แม่ฮ่องสอน,1009582,2559
196,ยโสธร,1949664,2559
197,ยะลา,1544464,2559
198,ร้อยเอ็ด,5020128,2559
199,ระนอง,628785,2559
200,ระยอง,2301612,2559
201,ราชบุรี,3079399,2559
202,ลพบุรี,1911667,2559
203,ลำปาง,3180271,2559
204,ลำพูน,1947868,2559
205,เลย,2608961,2559
206,ศรีสะเกษ,5018186,2559
207,สกลนคร,4371105,2559
208,สงขลา,4765007,2559
209,สตูล,982346,2559
210,สมุทรปราการ,2854353,2559
211,สมุทรสงคราม,990338,2559
212,สมุทรสาคร,2666789,2559
213,สระแก้ว,1667242,2559
214,สระบุรี,2735240,2559
215,สิงห์บุรี,1080538,2559
216,สุโขทัย,2409872,2559
217,สุพรรณบุรี,3925174,2559
218,สุราษฎร์ธานี,4067177,2559
219,สุรินทร์,4034125,2559
220,หนองคาย,2013150,2559
221,หนองบัวลำภู,1706513,2559
222,อ่างทอง,1483757,2559
223,อำนาจเจริญ,1414471,2559
224,อุดรธานี,5560716,2559
225,อุตรดิตถ์,2108208,2559
226,อุทัยธานี,1868279,2559
227,อุบลราชธานี,6771582,2559
228,กระบี่,1289648,2560
229,กาญจนบุรี,3280597,2560
230,กาฬสินธุ์,3583003,2560
231,กำแพงเพชร,2857414,2560
232,ขอนแก่น,6993546,2560
233,จันทบุรี,1901261,2560
234,ฉะเชิงเทรา,2370599,2560
235,ชลบุรี,4954613,2560
236,ชัยนาท,1833267,2560
237,ชัยภูมิ,3668092,2560
238,ชุมพร,1703310,2560
239,เชียงราย,5130937,2560
240,เชียงใหม่,7641399,2560
241,ตรัง,2371775,2560
242,ตราด,904008,2560
243,ตาก,2182435,2560
244,นครนายก,1098107,2560
245,นครปฐม,3799615,2560
246,นครพนม,2131340,2560
247,นครราชสีมา,9848592,2560
248,นครศรีธรรมราช,5415132,2560
249,นครสวรรค์,4563848,2560
250,นนทบุรี,3515044,2560
251,นราธิวาส,991874,2560
252,น่าน,2232323,2560
253,บึงกาฬ,1287377,2560
254,บุรีรัมย์,5397627,2560
255,ปทุมธานี,2464414,2560
256,ประจวบคีรีขันธ์,2063523,2560
257,ปราจีนบุรี,1919380,2560
258,ปัตตานี,2112067,2560
259,พระนครศรีอยุธยา,3114141,2560
260,พะเยา,2180685,2560
261,พังงา,969584,2560
262,พัทลุง,2204748,2560
263,พิจิตร,2425813,2560
264,พิษณุโลก,3816485,2560
265,เพชรบุรี,2360836,2560
266,เพชรบูรณ์,3137470,2560
267,แพร่,2090809,2560
268,ภูเก็ต,1204564,2560
269,มหาสารคาม,2911199,2560
270,มุกดาหาร,1113350,2560
271,แม่ฮ่องสอน,955600,2560
272,ยโสธร,1902717,2560
273,ยะลา,1667682,2560
274,ร้อยเอ็ด,5115873,2560
275,ระนอง,617303,2560
276,ระยอง,2295099,2560
277,ราชบุรี,3457151,2560
278,ลพบุรี,2825181,2560
279,ลำปาง,3457011,2560
280,ลำพูน,1967010,2560
281,เลย,2513405,2560
282,ศรีสะเกษ,5046481,2560
283,สกลนคร,4226267,2560
284,สงขลา,4890485,2560
285,สตูล,1002261,2560
286,สมุทรปราการ,2882801,2560
287,สมุทรสงคราม,1015314,2560
288,สมุทรสาคร,2417479,2560
289,สระแก้ว,1772991,2560
290,สระบุรี,2588588,2560
291,สิงห์บุรี,1095736,2560
292,สุโขทัย,2102276,2560
293,สุพรรณบุรี,3764171,2560
294,สุราษฎร์ธานี,4253070,2560
295,สุรินทร์,4476725,2560
296,หนองคาย,1949392,2560
297,หนองบัวลำภู,1625094,2560
298,อ่างทอง,1517288,2560
299,อำนาจเจริญ,1487820,2560
300,อุดรธานี,5501699,2560
301,อุตรดิตถ์,2122035,2560
302,อุทัยธานี,1823765,2560
303,อุบลราชธานี,6691617,2560
304,กระบี่,1246366,2561
305,กาญจนบุรี,3214004,2561
306,กาฬสินธุ์,3356022,2561
307,กำแพงเพชร,2812817,2561
308,ขอนแก่น,5544608,2561
309,จันทบุรี,1991994,2561
310,ฉะเชิงเทรา,2734985,2561
311,ชลบุรี,3467681,2561
312,ชัยนาท,1881114,2561
