,Year,Province,total
0,2554,amnatcharoen,526
1,2554,angthong,644
2,2554,buengkan,435
3,2554,buriram,1900
4,2554,chachoengthrao,1081
5,2554,chainat,696
6,2554,chaiyaphum,1312
7,2554,chanthaburi,1414
8,2554,chiangmai,5170
9,2554,chiangrai,1963
10,2554,chonburi,3900
11,2554,chumphon,909
12,2554,kalasin,1216
13,2554,kamphaengphet,825
14,2554,kanchanaburi,1196
15,2554,khonkaen,3980
16,2554,krabi,647
17,2554,krungthepmahanakhon,22133
18,2554,lampang,1746
19,2554,lamphun,823
20,2554,loei,926
21,2554,lopburi,1443
22,2554,maehongson,452
23,2554,mahasarakham,1402
24,2554,mukdahan,545
25,2554,nakhonnayok,892
26,2554,nakhonpathom,1534
27,2554,nakhonphanom,943
28,2554,nakhonratchasima,3608
29,2554,nakhonsawan,1780
30,2554,nakhonsithammarat,2339
31,2554,nan,1064
32,2554,narathiwat,1194
33,2554,nongbualamphu,450
34,2554,nongkhai,746
35,2554,nonthaburi,2054
36,2554,pathumthani,1648
37,2554,pattani,861
38,2554,phangnga,679
39,2554,phatthalung,1043
40,2554,phayao,1151
41,2554,phetchabun,1131
42,2554,phetchaburi,1044
43,2554,phichit,824
44,2554,phitsanulok,2073
45,2554,phrae,976
46,2554,phranakhonsi-ayutthaya,1387
47,2554,phuket,1108
48,2554,prachinburi,837
49,2554,prachuapkhirikhan,895
50,2554,ranong,458
51,2554,ratchaburi,2028
52,2554,rayong,1310
53,2554,roi-et,1624
54,2554,sakaeo,640
55,2554,sakonnakhon,1425
56,2554,samutprakan,1565
57,2554,samutsakhon,1178
58,2554,samutsongkhram,496
59,2554,saraburi,1691
60,2554,satun,671
61,2554,singburi,780
62,2554,sisaket,1544
63,2554,songkhla,4006
64,2554,sukhothai,1034
65,2554,suphanburi,1585
66,2554,suratthani,2308
67,2554,surin,1559
68,2554,tak,942
69,2554,trang,1228
70,2554,trat,665
71,2554,ubonratchathani,3433
72,2554,udonthani,2058
73,2554,uthaithani,620
74,2554,utradit,970
75,2554,yala,1349
76,2554,yasothon,804
77,2555,amnatcharoen,503
78,2555,angthong,711
79,2555,buengkan,501
80,2555,buriram,1847
81,2555,chachoengthrao,1208
82,2555,chainat,739
83,2555,chaiyaphum,1467
84,2555,chanthaburi,1364
85,2555,chiangmai,5215
86,2555,chiangrai,1946
87,2555,chonburi,4128
88,2555,chumphon,923
89,2555,kalasin,1011
90,2555,kamphaengphet,944
91,2555,kanchanaburi,1149
92,2555,khonkaen,3754
93,2555,krabi,597
94,2555,krungthepmahanakhon,23752
95,2555,lampang,1871
96,2555,lamphun,745
97,2555,loei,920
98,2555,lopburi,1554
99,2555,maehongson,444
100,2555,mahasarakham,1308
101,2555,mukdahan,546
102,2555,nakhonnayok,890
103,2555,nakhonpathom,1611
104,2555,nakhonphanom,944
105,2555,nakhonratchasima,3401
106,2555,nakhonsawan,1697
107,2555,nakhonsithammarat,2317
108,2555,nan,1080
109,2555,narathiwat,1247
110,2555,nongbualamphu,473
111,2555,nongkhai,747
112,2555,nonthaburi,2344
113,2555,pathumthani,1838
114,2555,pattani,855
115,2555,phangnga,679
116,2555,phatthalung,1040
117,2555,phayao,1209
118,2555,phetchabun,1126
119,2555,phetchaburi,1020
120,2555,phichit,827
121,2555,phitsanulok,2109
122,2555,phrae,881
123,2555,phranakhonsi-ayutthaya,1367
124,2555,phuket,1132
125,2555,prachinburi,836
126,2555,prachuapkhirikhan,759
127,2555,ranong,446
128,2555,ratchaburi,2014
129,2555,rayong,1302
130,2555,roi-et,1335
131,2555,sakaeo,575
132,2555,sakonnakhon,1342
133,2555,samutprakan,1614
134,2555,samutsakhon,1110
135,2555,samutsongkhram,487
136,2555,saraburi,1671
137,2555,satun,683
138,2555,singburi,778
139,2555,sisaket,1585
140,2555,songkhla,3987
141,2555,sukhothai,1016
142,2555,suphanburi,1585
143,2555,suratthani,2130
144,2555,surin,1526
145,2555,tak,848
146,2555,trang,1212
147,2555,trat,654
148,2555,ubonratchathani,2424
149,2555,udonthani,2074
150,2555,uthaithani,630
151,2555,utradit,887
152,2555,yala,1357
153,2555,yasothon,735
154,2556,amnatcharoen,587
155,2556,angthong,735
156,2556,buengkan,359
157,2556,buriram,1962
158,2556,chachoengthrao,1142
159,2556,chainat,690
160,2556,chaiyaphum,1501
161,2556,chanthaburi,1473
162,2556,chiangmai,5181
163,2556,chiangrai,1482
164,2556,chonburi,4278
165,2556,chumphon,851
166,2556,kalasin,1401
167,2556,kamphaengphet,788
168,2556,kanchanaburi,1148
169,2556,khonkaen,4977
170,2556,krabi,584
171,2556,krungthepmahanakhon,23680
172,2556,lampang,1645
173,2556,lamphun,775
174,2556,loei,1078
175,2556,lopburi,1422
176,2556,maehongson,451
177,2556,mahasarakham,1409
178,2556,mukdahan,614
179,2556,nakhonnayok,917
180,2556,nakhonpathom,1461
181,2556,nakhonphanom,1106
182,2556,nakhonratchasima,3843
183,2556,nakhonsawan,1519
184,2556,nakhonsithammarat,2167
185,2556,nan,936
186,2556,narathiwat,1888
187,2556,nongbualamphu,560
188,2556,nongkhai,793
189,2556,nonthaburi,2258
190,2556,pathumthani,1856
191,2556,pattani,1507
192,2556,phangnga,650
193,2556,phatthalung,948
194,2556,phayao,1071
195,2556,phetchabun,1008
196,2556,phetchaburi,936
197,2556,phichit,823
198,2556,phitsanulok,1780
199,2556,phrae,923
200,2556,phranakhonsi-ayutthaya,1501
201,2556,phuket,927
202,2556,prachinburi,902
203,2556,prachuapkhirikhan,761
204,2556,ranong,440
205,2556,ratchaburi,1964
206,2556,rayong,1432
207,2556,roi-et,1830
208,2556,sakaeo,743
209,2556,sakonnakhon,1564
210,2556,samutprakan,1161
211,2556,samutsakhon,985
212,2556,samutsongkhram,503
213,2556,saraburi,1674
214,2556,satun,663
215,2556,singburi,781
216,2556,sisaket,1785
217,2556,songkhla,4185
218,2556,sukhothai,974
219,2556,suphanburi,1423
220,2556,suratthani,2039
221,2556,surin,1651
222,2556,tak,845
223,2556,trang,1137
224,2556,trat,650
225,2556,ubonratchathani,3514
226,2556,udonthani,2279
227,2556,uthaithani,604
228,2556,utradit,874
229,2556,yala,1537
230,2556,yasothon,858
231,2557,amnatcharoen,3675
232,2557,angthong,737
233,2557,buengkan,1152
234,2557,buriram,2223
235,2557,chachoengthrao,1270
236,2557,chainat,1043
237,2557,chaiyaphum,1657
238,2557,chanthaburi,1494
239,2557,chiangmai,1238
240,2557,chiangrai,2156
241,2557,chonburi,4336
242,2557,chumphon,2587
243,2557,kalasin,1502
244,2557,kamphaengphet,726
245,2557,kanchanaburi,1383
246,2557,khonkaen,5206
247,2557,krabi,1010
248,2557,krungthepmahanakhon,28088
249,2557,lampang,2043
250,2557,lamphun,940
251,2557,loei,851
252,2557,lopburi,1648
253,2557,maehongson,534
254,2557,mahasarakham,1606
255,2557,mukdahan,628
256,2557,nakhonnayok,931
257,2557,nakhonpathom,1812
258,2557,nakhonphanom,609
259,2557,nakhonratchasima,4529
260,2557,nakhonsawan,956
261,2557,nakhonsithammarat,2744
262,2557,nan,1297
263,2557,narathiwat,1411
264,2557,nongbualamphu,1189
265,2557,nongkhai,2576
266,2557,nonthaburi,2356
267,2557,pathumthani,1904
268,2557,pattani,2011
269,2557,phangnga,745
270,2557,phatthalung,1542
271,2557,phayao,1105
272,2557,phetchabun,1514
273,2557,phetchaburi,1715
274,2557,phichit,1759
275,2557,phitsanulok,2203
276,2557,phrae,5667
277,2557,phranakhonsi-ayutthaya,1556
278,2557,phuket,716
279,2557,prachinburi,1001
280,2557,prachuapkhirikhan,2131
281,2557,ranong,1090
282,2557,ratchaburi,986
283,2557,rayong,1524
284,2557,roi-et,1968
285,2557,sakaeo,764
286,2557,sakonnakhon,666
287,2557,samutprakan,1810
288,2557,samutsakhon,540
289,2557,samutsongkhram,1070
290,2557,saraburi,1566
291,2557,satun,756
292,2557,singburi,800
293,2557,sisaket,1842
294,2557,songkhla,4486
295,2557,sukhothai,1103
296,2557,suphanburi,1370
297,2557,suratthani,474
298,2557,surin,1879
299,2557,tak,1040
300,2557,trang,1088
301,2557,trat,683
302,2557,ubonratchathani,617
303,2557,udonthani,1720
304,2557,uthaithani,689
305,2557,utradit,1092
306,2557,yala,1656
307,2557,yasothon,922
308,2558,amnatcharoen,619
309,2558,angthong,717
310,2558,buengkan,539
311,2558,buriram,2231
312,2558,chachoengthrao,1257
313,2558,chainat,719
314,2558,chaiyaphum,1596
315,2558,chanthaburi,1566
